"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","reformattedtext"
"1160","Well done, Chanathip Songkrasin! @TLeagueTransfer",FALSE,1,"TLeagueTransfer",2017-03-03 03:11:39,FALSE,"834013425097383936","837500692990304261","4533543674","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Well done, Chanathip Songkrasin! @TLeagueTransfer"
"1161","@RichyVanDamme Great to hear that, Richy!",FALSE,0,"RichyVanDamme",2017-03-02 08:11:53,FALSE,"835613457454104577","837213860918525957","625100230","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@RichyVanDamme Great to hear that, Richy!"
"1162","@fortuneqingdao @loveqingdao Thanks for sharing :)",FALSE,0,"fortuneqingdao",2017-03-02 05:04:54,FALSE,"836153956472508420","837166803075784705","4722942259","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@fortuneqingdao @loveqingdao Thanks for sharing :)"
"1163","If you close your eyes, it’s almost like you’re at the beach. #Tsingtao 
������ : @ifisaarg https://t.co/HHgDkSBIOQ",FALSE,9,NA,2017-03-01 12:01:01,FALSE,NA,"836909137141321728",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"If you close your eyes, it<e2><80><99>s almost like you<e2><80><99>re at the beach. #Tsingtao 
<ed><a0><bd><ed><b3><b8> : @ifisaarg https://t.co/HHgDkSBIOQ"
"1164","Relax and find your Zen. #Tsingtao ������ : @pokpokhn https://t.co/5AZ0diPfjN",FALSE,3,NA,2017-02-28 12:00:11,FALSE,NA,"836546537115254788",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Relax and find your Zen. #Tsingtao <ed><a0><bd><ed><b3><b8> : @pokpokhn https://t.co/5AZ0diPfjN"
"1165","Stunning views of the city where Tsingtao Beer is brewed. https://t.co/LWSHjU9MYL",FALSE,1,NA,2017-02-27 09:28:53,FALSE,NA,"836146075736006656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Stunning views of the city where Tsingtao Beer is brewed. https://t.co/LWSHjU9MYL"
"1166","I’ll take two, please! #Tsingtao @liarochasparis https://t.co/SUGMRjaOEr",FALSE,1,NA,2017-02-26 12:00:37,FALSE,NA,"835821869911638016",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"I<e2><80><99>ll take two, please! #Tsingtao @liarochasparis https://t.co/SUGMRjaOEr"
"1167","Suit? Check. Watch? Check. Cufflinks? Check. Tsingtao? Check.

#TheTasteThatTranslates https://t.co/WUnFPiOwzV",FALSE,33,NA,2017-02-24 12:00:47,FALSE,NA,"835097138543673347",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",8,FALSE,FALSE,NA,NA,"Suit? Check. Watch? Check. Cufflinks? Check. Tsingtao? Check.

#TheTasteThatTranslates https://t.co/WUnFPiOwzV"
"1168","Feel the sand between your toes. #Tsingtao ������ : @ifisaarg https://t.co/2NVqefPBJb",FALSE,7,NA,2017-02-23 12:00:15,FALSE,NA,"834734613952069638",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",3,FALSE,FALSE,NA,NA,"Feel the sand between your toes. #Tsingtao <ed><a0><bd><ed><b3><b8> : @ifisaarg https://t.co/2NVqefPBJb"
"1169","Capture your good side. #Tsingtao @jackiemargaret https://t.co/qHYjRv7Os0",FALSE,1,NA,2017-02-21 12:00:42,FALSE,NA,"834009953903992832",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"Capture your good side. #Tsingtao @jackiemargaret https://t.co/qHYjRv7Os0"
"1170","Cheers to drinking with friends! #Tsingtao https://t.co/tOdj73JMVN",FALSE,3,NA,2017-02-20 12:00:28,FALSE,NA,"833647505422348289",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",4,FALSE,FALSE,NA,NA,"Cheers to drinking with friends! #Tsingtao https://t.co/tOdj73JMVN"
"1171","Friends, sunset, beach, Tsingtao. What else do you need?
������ : @matias_veiga https://t.co/6EHBH693BC",FALSE,2,NA,2017-02-19 12:00:07,FALSE,NA,"833285029421805569",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Friends, sunset, beach, Tsingtao. What else do you need?
<ed><a0><bd><ed><b3><b8> : @matias_veiga https://t.co/6EHBH693BC"
"1172","Your hairstyle says a lot about you. So does your Tsingtao.

#TheTasteThatTranslates https://t.co/CrZAsDXKjF",FALSE,52,NA,2017-02-17 12:00:17,FALSE,NA,"832560297483390977",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",12,FALSE,FALSE,NA,NA,"Your hairstyle says a lot about you. So does your Tsingtao.

#TheTasteThatTranslates https://t.co/CrZAsDXKjF"
"1173","Are you ready to Tango? #TsingtaoOpen https://t.co/TWQlGnGq0G",FALSE,1,NA,2017-02-16 12:01:14,FALSE,NA,"832198148613369856",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Are you ready to Tango? #TsingtaoOpen https://t.co/TWQlGnGq0G"
"1174","Happy #ValentinesDay from #Tsingtao https://t.co/Q1p96cVTma",FALSE,4,NA,2017-02-14 12:00:35,FALSE,NA,"831473206200561665",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",2,FALSE,FALSE,NA,NA,"Happy #ValentinesDay from #Tsingtao https://t.co/Q1p96cVTma"
"1175","Three’s company! #Tsingtao ������: @fischesil https://t.co/SFwhCCcEeX",FALSE,4,NA,2017-02-12 12:00:57,FALSE,NA,"830748524417540096",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"Three<e2><80><99>s company! #Tsingtao <ed><a0><bd><ed><b3><b8>: @fischesil https://t.co/SFwhCCcEeX"
"1176","Date night? Skip the bottle of wine and impress her with a bottle of Tsingtao.

#TheTasteThatTranslates https://t.co/lc7wczIuIl",FALSE,75,NA,2017-02-10 12:00:19,FALSE,NA,"830023588744921088",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",15,FALSE,FALSE,NA,NA,"Date night? Skip the bottle of wine and impress her with a bottle of Tsingtao.

#TheTasteThatTranslates https://t.co/lc7wczIuIl"
"1177","@walkwithwei Welcomes you to the year of the Rooster! https://t.co/0wWR36Vb7M",FALSE,6,NA,2017-02-08 12:00:59,FALSE,NA,"829298981385752582",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",2,FALSE,FALSE,NA,NA,"@walkwithwei Welcomes you to the year of the Rooster! https://t.co/0wWR36Vb7M"
"1178","Tsingtao fashion tip #17: Your outfit should always match your Tsingtao. #TheTasteThatTranslates https://t.co/SrH3KDTvLR",FALSE,55,NA,2017-02-06 12:00:52,FALSE,NA,"828574175820406784",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",7,FALSE,FALSE,NA,NA,"Tsingtao fashion tip #17: Your outfit should always match your Tsingtao. #TheTasteThatTranslates https://t.co/SrH3KDTvLR"
"1179","Hard Rock. Smooth Beer. #Tsingtao https://t.co/ydDoL0Gqzi",FALSE,3,NA,2017-02-05 12:00:48,FALSE,NA,"828211770418409473",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Hard Rock. Smooth Beer. #Tsingtao https://t.co/ydDoL0Gqzi"
"1180","Time for that #Friday Beer! #Tsingtao ������ : @takeoi https://t.co/XrUOXmqztR",FALSE,5,NA,2017-02-03 12:00:59,FALSE,NA,"827487042217078784",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Time for that #Friday Beer! #Tsingtao <ed><a0><bd><ed><b3><b8> : @takeoi https://t.co/XrUOXmqztR"
"1181","We can’t help but think that @hahn.0330 has a solid taste in art! ������  #Tsingtao https://t.co/TbTjh25TO7",FALSE,2,NA,2017-02-01 12:01:11,FALSE,NA,"826762318503608320",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"We can<e2><80><99>t help but think that @hahn.0330 has a solid taste in art! <ed><a0><bd><ed><b8><89>  #Tsingtao https://t.co/TbTjh25TO7"
"1182","Under the rising #sun! #Tsingtao ������ : @hsueh_eric https://t.co/QAQpcjcCua",FALSE,6,NA,2017-01-30 12:00:40,FALSE,NA,"826037411624919042",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"Under the rising #sun! #Tsingtao <ed><a0><bd><ed><b3><b8> : @hsueh_eric https://t.co/QAQpcjcCua"
"1183","Australian Open(ing) #AusOpen #TsingtaoOpen https://t.co/LWRo9PKIDu",FALSE,1,NA,2017-01-28 09:45:10,FALSE,NA,"825278535480832000",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Australian Open(ing) #AusOpen #TsingtaoOpen https://t.co/LWRo9PKIDu"
