"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"55"," Let's gooooo! <ed><U+00A0><U+00BD><ed><U+00B0><U+0090><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"Kara_Jayne90","budlight",0,2017-10-22 19:56:48,"Sun"
"56"," We'll cheers to that!",1,"Oste33","budlight",0,2017-10-22 19:55:10,"Sun"
"57"," Many more W's ahead! FeedDaBears",1,"jenwielgus","budlight",0,2017-10-22 19:53:04,"Sun"
"58"," It's goood! <ed><U+00A0><U+00BD><ed><U+00B9><U+0086><U+200D><U+2642><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"mrlautenschlage","budlight",0,2017-10-22 19:51:08,"Sun"
"59"," We gotchu. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> DillyDilly",2,"nwanken","budlight",1,2017-10-22 19:45:23,"Sun"
"60"," Keep your spirits high, and your DillyDilly higher.",1,"the_fabgab","budlight",1,2017-10-22 19:44:40,"Sun"
"61"," Kickoff is almost here!",1,"303Chaz","budlight",0,2017-10-22 19:41:31,"Sun"
"62","  ",0,"Tonyfredfitness","budlight",0,2017-10-22 19:40:14,"Sun"
"63"," Grab a BL and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"stanman123","budlight",0,2017-10-22 19:39:07,"Sun"
"64"," Kickoff can't come soon enough!",1,"Valerie_Romo","budlight",1,2017-10-22 19:35:50,"Sun"
"65"," Oh, it�s definitely a thing. DillyDilly",8,"GeorgesNiang20","budlight",2,2017-10-22 19:33:21,"Sun"
"66"," We're drooling a little, not gonna lie.",1,"ExiledLeafsFan","budlight",0,2017-10-22 19:32:30,"Sun"
"67"," Dilly Dilly! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"AnitaMarks","budlight",0,2017-10-22 19:32:12,"Sun"
"68","  ",1,"TheeRonepolo20","budlight",0,2017-10-22 19:31:46,"Sun"
"69"," We're with ya, let's do this!",0,"ThatGirlKiki20","budlight",0,2017-10-22 19:11:11,"Sun"
"70"," Teamwork makes the dream work!",0,"_JohnAllen4","budlight",0,2017-10-22 19:07:29,"Sun"
"71"," Right there with you. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"ThaHomieRich","budlight",1,2017-10-22 19:02:39,"Sun"
